forbes_name,clean_name,education
Eva Maria Braun-Luedicke,Eva Maria Braun-Luedicke,
Friederike Braun-Luedicke,Friederike Braun-Luedicke,
Jim McKelvey,Jim McKelvey,Washington University in St. Louis
Selçuk Bayraktar,Selçuk Bayraktar,Robert College Istanbul Technical University University of Pennsylvania Massachusetts Institute of Technology
C.C. Leung,C.C. Leung,
Ishay Davidi,Ishay Davidi,
Wang Xicheng & family,Wang Xicheng,
Harley Sy,Harley Sy,Assumption College (Teresita) Maryknoll College (Elizabeth) De La Salle University (Sy brothers)
Mustafa Kucuk,Mustafa Kucuk,
Adriaan Mol,Adriaan Mol,
Alexander Sixt,Alexander Sixt,
Konstantin Sixt,Konstantin Sixt,
Chirayu Amin,Chirayu Amin,Maharaja Sayajirao University of Baroda (B.A.) Seton Hall University (MBA)
Kim Jung-min,Kim Jung-min,
Kim Jung-youn,Kim Jung-youn,
James France,James France,
Zhang Changhong,Zhang Changhong,
Richard Fortin,Richard Fortin,
Dan Wilks,Dan Wilks,
Lalit Khaitan,Lalit Khaitan,
Bachtiar Karim,Bachtiar Karim,NUS Business
Gary Fegel,Gary Fegel,
Toto Wolff,Toto Wolff,Vienna University of Economics and Business (dropped out)
Maike Oberwelland-Height,Maike Oberwelland-Height,
Amnon Shashua,Amnon Shashua,Tel-Aviv University (BS) Weizmann Institute of Science (MS) Massachusetts Institute of Technology (PhD)
Gary Michelson,Gary Michelson,Temple University Hahnemann Medical College
She Yingjie,She Yingjie,
Faisal Bin Qassim Al Thani,Faisal Bin Qassim Al Thani,
Hu Yangzhong,Hu Yangzhong,
Lu Yiwen,Lu Yiwen,
Evan Wallace,Evan Wallace,
Andreas Martinos & family,Andreas Martinos,
Christine Knauf,Christine Knauf,
Lim Kok Thay,Lim Kok Thay,University of London
Arvind Lal,Arvind Lal,
Rubén Coppel Luken,Rubén Coppel Luken,
Scott Lin,Scott Lin,
Alan Zekelman,Alan Zekelman,
Kwee Liong Phing,Kwee Liong Phing,
Kwee Liong Seen,Kwee Liong Seen,
Kwee Liong Keng,Kwee Liong Keng,
Kwee Liong Tek,Kwee Liong Tek,
Kim Kardashian,Kim Kardashian,
Anas Sefrioui & family,Anas Sefrioui,
Hao Hong,Hao Hong,
Don Levin,Don Levin,
Mitchell Jacobson,Mitchell Jacobson,
Shao Qinxiang,Shao Qinxiang,
Xiao Hongxing,Xiao Hongxing,
Samuel Chen,Samuel Chen,
Christiane Knauf,Christiane Knauf,
Karl Knauf,Karl Knauf,
Karl-Johan Persson,Karl-Johan Persson,European Business School
Ivan Chrenko,Ivan Chrenko,
Ni Zugen,Ni Zugen,
R.G. Chandramogan,R.G. Chandramogan,
Yu Lili,Yu Lili,
Fumio Kaneko,Fumio Kaneko,
Teo Swee Ann,Teo Swee Ann,
Peter Jackson,Peter Jackson,
Teresita Sy-Coson,Teresita Sy-Coson,Immaculate Conception Academy–Greenhills Assumption College San Lorenzo
Chang Jing,Chang Jing,
Jerry Moyes & family,Jerry Moyes,Weber State College
Walter Kortschak,Walter Kortschak,
Mu Rongjun,Mu Rongjun,
Huang Dawen,Huang Dawen,
Shivratan Agarwal,Shivratan Agarwal,
George Christ & family,George Christ,
Cao Ji,Cao Ji,
Girdhari Jaisinghani,Girdhari Jaisinghani,
Christopher Kwok,Christopher Kwok,
Wang Chaobin,Wang Chaobin,
Ivan Zhao,Ivan Zhao,
Igor Tulchinsky,Igor Tulchinsky,University of Texas Wharton School of the University of Pennsylvania
Ruan Shuilong & family,Ruan Shuilong,
Nir Zuk,Nir Zuk,
Edward Kwok,Edward Kwok,
Matthew Pritzker,Matthew Pritzker,American University
Sergei Katsiev,Sergei Katsiev,Moscow Institute of International Relations
Vladimir Yevtushenkov,Vladimir Yevtushenkov,
Weng Xianding,Weng Xianding,
Dhruv Sawhney,Dhruv Sawhney,
Hou Juncheng,Hou Juncheng,Tsinghua University
Manoj Upadhyay,Manoj Upadhyay,
Ivan Savvidis & family,Ivan Savvidis,"Rostov State University of Economics , Rostov-on-Don"
Eugene Kaspersky,Eugene Kaspersky,IKSI
Brian Roberts,Brian Roberts,
Kishin RK,Kishin RK,
Raj Kumar,Raj Kumar,
Benoit Dageville,Benoit Dageville,
Hitesh Doshi,Hitesh Doshi,
Thomas Bruch,Thomas Bruch,
Dong Zengping,Dong Zengping,
Yin Yee Lee,Yin Yee Lee,
Jung Sang-soo,Jung Sang-soo,
Barbara Benetton,Barbara Benetton,
Peng Zhao,Peng Zhao,"Peking University ( BA ) University of California, Berkeley ( MA , PhD )"
Pacal Vanhalst & family,Pacal Vanhalst,
Pankaj Doshi,Pankaj Doshi,
Lu Di,Lu Di,
Bernd Freier,Bernd Freier,
Harvey Jones,Harvey Jones,
Sun Huaiqing & family,Sun Huaiqing,
Francisco Jose Riberas Mera,Francisco Jose Riberas Mera,
Ron Corio,Ron Corio,
Peter Sperling,Peter Sperling,University of California at Santa Barbara University of Phoenix
Helena Revoredo & family,Helena Revoredo,Pontifical Catholic University of Argentina IESE Business School
Randal J. Kirk,Randal J. Kirk,"Radford University (BA,) [ 2 ] University of Virginia School of Law (JD) [ 3 ]"
Nicholas Pritzker,Nicholas Pritzker,Reed College Lake Forest College London Film School University of Chicago
Kevin Glazer,Kevin Glazer,
Darcie Glazer Kassewitz,Darcie Glazer Kassewitz,
Edward Glazer,Edward Glazer,
Bryan Glazer,Bryan Glazer,American University
Joel Glazer,Joel Glazer,American University
Avram Glazer,Avram Glazer,Washington University in St. Louis (BSBA) American University (JD)
Joe Rogers Jr,Joe Rogers Jr,
Michael Minhong Yu,Michael Minhong Yu,Peking University
Christoffel Wiese,Christoffel Wiese,Stellenbosch University
Bill Gross,Bill Gross,
Eric Hémar,Eric Hémar,
Zhou Yahui,Zhou Yahui,Tsinghua University
Liang Yunchao,Liang Yunchao,
Zhang Xiaojuan,Zhang Xiaojuan,
Brian Hill,Brian Hill,
José Coppel Luken,José Coppel Luken,
Alberto Coppel Luken,Alberto Coppel Luken,
James Tisch,James Tisch,BA Cornell University MBA University of Pennsylvania
Juan Maria Riberas Mera,Juan Maria Riberas Mera,
Min-Liang Tan,Min-Liang Tan,"National University of Singapore (LLB, LLM)"
Timothy Boyle,Timothy Boyle,University of Oregon
Wang Zhenghua,Wang Zhenghua,
Hamdi Akin & family,Hamdi Akin,
Cai Jianyong,Cai Jianyong,
Sefik Yilmaz Dizdar,Sefik Yilmaz Dizdar,
Vadim Yakunin,Vadim Yakunin,Moscow Institute of Physics and Technology
Kenny Troutt,Kenny Troutt,
Pavan Jain,Pavan Jain,
Robert Fisher,Robert Fisher,
Torsten Toeller,Torsten Toeller,
Giammaria Giuliani,Giammaria Giuliani,
Stephen Jarislowsky,Stephen Jarislowsky,Cornell University [ 1 ] University of Chicago [ 2 ] Harvard Business School [ 3 ]
Artem Khachatryan,Artem Khachatryan,
Gerald Schwartz,Gerald Schwartz,"University of Manitoba (BA, LLB) Harvard University (MBA)"
Vinod Saraf,Vinod Saraf,
Richard Chang,Richard Chang,
Lai Guogui & family,Lai Guogui,
Lin Fanlian,Lin Fanlian,
Naresh Jain,Naresh Jain,
John Van Lieshout,John Van Lieshout,
Jeffrey Gundlach,Jeffrey Gundlach,Dartmouth College Yale University
Ronald Perelman,Ronald Perelman,"Villanova University University of Pennsylvania ( BS , MBA )"
David Mindus,David Mindus,
Patrick Zalupski,Patrick Zalupski,
Heloise Pratt,Heloise Pratt,
Paolo Bulgari,Paolo Bulgari,
Wu Lanlan & family,Wu Lanlan,
Koo Kwang-mo,Koo Kwang-mo,Rochester Institute of Technology
Chu Mang Yee & family,Chu Mang Yee,
Yang Ying & family,Yang Ying,
Roland Duchatelet & family,Roland Duchatelet,Katholieke Universiteit Leuven
Eduard Kucera,Eduard Kucera,Charles University
Mike Repole,Mike Repole,St. John's University
Sue Gross,Sue Gross,
Aziz Akhannouch & family,Aziz Akhannouch,Université de Sherbrooke
Gretel Packer,Gretel Packer,
Liu Fangyi,Liu Fangyi,
Heikki Herlin,Heikki Herlin,Helsinki University of Technology
Melissa Ma,Melissa Ma,
K.C. Liu,K.C. Liu,
Wu Jianbin,Wu Jianbin,
Hans Thomann,Hans Thomann,
Alberto Alcocer,Alberto Alcocer,
Zhang Shilong & family,Zhang Shilong,
Satish Mehta,Satish Mehta,
Tom Persson,Tom Persson,Met Film School
Christina Flügel,Christina Flügel,
Larry Culp,Larry Culp,Washington College ( BA ) Harvard University ( MBA )
JB Straubel,JB Straubel,"Stanford University ( BS , MS ) [ 1 ]"
Eleonora Berlusconi,Eleonora Berlusconi,
Barbara Berlusconi,Barbara Berlusconi,San Raffaele University
Luigi Berlusconi,Luigi Berlusconi,
Ren Jianhua,Ren Jianhua,
Chen Yung-tai,Chen Yung-tai,
Haluk Bayraktar,Haluk Bayraktar,Middle East Technical University Columbia University
Chen Qixing,Chen Qixing,
Fang Hongbo,Fang Hongbo,
Thomas von Koch,Thomas von Koch,
Ulrike Baro,Ulrike Baro,
Olivia Holding,Olivia Holding,
Huang Yimeng,Huang Yimeng,
Charles Cohen,Charles Cohen,
Jennifer Steinbrenner Swindal,Jennifer Steinbrenner Swindal,
Jessica Steinbrenner,Jessica Steinbrenner,
Onkar Kanwar,Onkar Kanwar,California State University
Zhou Jian,Zhou Jian,University of Queensland University of Cambridge
Xiang Guangming & family,Xiang Guangming,
Eugene Wu,Eugene Wu,
Krit Ratanarak,Krit Ratanarak,
Stephane Bonvin,Stephane Bonvin,
Yoshiaki Yoshida,Yoshiaki Yoshida,
Irfan Razack,Irfan Razack,
Rezwan Razack,Rezwan Razack,
Noaman Razack,Noaman Razack,
Charlotte Soderstrom,Charlotte Soderstrom,
G.V. Prasad,G.V. Prasad,
Rajju Shroff,Rajju Shroff,
Zhang Liguo,Zhang Liguo,
Dean Solon,Dean Solon,
Lillian Teh Li Ming,Lillian Teh Li Ming,
William Teh Lee Pang,William Teh Lee Pang,
Lillyn Teh Li Hua,Lillyn Teh Li Hua,
Diona Teh Li Shian,Diona Teh Li Shian,
Hal Steinbrenner,Hal Steinbrenner,Williams College ( BA ) University of Florida ( MBA )
Lee Su-jin,Lee Su-jin,
Rolly van Rappard,Rolly van Rappard,
William Fisher,William Fisher,
Satish Reddy,Satish Reddy,
Carlos Sanchez,Carlos Sanchez,
Laurie Tisch,Laurie Tisch,
Steven Tisch,Steven Tisch,
David Paul,David Paul,
Sasson Dayan & family,Sasson Dayan,
Sidney Kimmel,Sidney Kimmel,
Alberto Cortina,Alberto Cortina,
Laurans Mendelson,Laurans Mendelson,
Artur Grynbaum,Artur Grynbaum,
Nelson Peltz,Nelson Peltz,
Terence (Terry) Matthews,Terence (Terry) Matthews,
Said Gutseriev,Said Gutseriev,Oxford University Plymouth University
Julia Oetker,Julia Oetker,
Yasuhide Uno,Yasuhide Uno,
Tong Yongsheng & family,Tong Yongsheng,
Lin Lairong & family,Lin Lairong,
Sharron Hunt & family,Sharron Hunt,
Daniel Hunt & family,Daniel Hunt,
Clark Hunt & family,Clark Hunt,
Lamar Hunt Jr & family,Lamar Hunt Jr,
Evgeny (Eugene) Shvidler,Evgeny (Eugene) Shvidler,
Wu Zhigang & family,Wu Zhigang,
Leopoldo Espinosa Abdalá,Leopoldo Espinosa Abdalá,
Fernando Espinosa Abdalá,Fernando Espinosa Abdalá,
Ben Ashkenazy,Ben Ashkenazy,Adelphi University (did not graduate)
Li Haiyan,Li Haiyan,
Per Sandberg,Per Sandberg,
Zhang Yin,Zhang Yin,
Eduard Schleicher,Eduard Schleicher,
Ursula Hutter-Schleicher,Ursula Hutter-Schleicher,
Farkhad Akhmedov,Farkhad Akhmedov,
Taylor Swift,Taylor Swift,
John Bloor,John Bloor,
Leonid Simanovsky,Leonid Simanovsky,Kuybyshev Planning Institute
Zhu Zhaojiang,Zhu Zhaojiang,
Michelle Xia,Michelle Xia,
Lucio Co,Lucio Co,
William Lauder,William Lauder,
Alex Beard,Alex Beard,
Chen Shibin,Chen Shibin,
Li Jianli,Li Jianli,
Luis Enrique Yarur Rey,Luis Enrique Yarur Rey,"IESE, University of Navarra"
Aloke Lohia,Aloke Lohia,University of Delhi
Doris Fisher,Doris Fisher,
Zhu Yiming,Zhu Yiming,
Bharat Desai,Bharat Desai,"University of Michigan Indian Institute of Technology, Bombay"
Dong Fan,Dong Fan,
Lu Hongyan,Lu Hongyan,
Antti Aarnio-Wihuri,Antti Aarnio-Wihuri,
Shalom Meckenzie & family,Shalom Meckenzie,
Susan Carol Holland,Susan Carol Holland,Keele University
Mike Speiser,Mike Speiser,
Filippo Ghirelli,Filippo Ghirelli,
Chang Chung-Hsing,Chang Chung-Hsing,
Robert Mouawad,Robert Mouawad,
Karen Virginia Beckmann Legoretta,Karen Virginia Beckmann Legoretta,
Kenzo Tsujimoto,Kenzo Tsujimoto,
Miguel Tomás Arrufat Pujol,Miguel Tomás Arrufat Pujol,
Andrew Tan,Andrew Tan,University of the East
Oleg Boyko,Oleg Boyko,"Moscow Aviation University , Presidential Academy of National Economy and Public Administration"
Sun Weijie,Sun Weijie,
Elizabeth Sy,Elizabeth Sy,Assumption College (Teresita) Maryknoll College (Elizabeth) De La Salle University (Sy brothers)
Johan Johannson,Johan Johannson,
Peter Guber,Peter Guber,"Syracuse University ( BA ) New York University ( JD , LLM )"
Fu Guangming & family,Fu Guangming,
Nikolay Fartushnyak,Nikolay Fartushnyak,
Yi Dasheng,Yi Dasheng,
Yuan Zhongxue,Yuan Zhongxue,
Stewart Butterfield,Stewart Butterfield,"University of Victoria Clare College, Cambridge"
Saroj Rani Gupta,Saroj Rani Gupta,
Anna Maria Braun,Anna Maria Braun,Georgetown University
Johanna Braun,Johanna Braun,
Karl Friedrich Braun,Karl Friedrich Braun,
George Marcus,George Marcus,
Aerin Lauder,Aerin Lauder,University of Pennsylvania
Mofatraj Munot,Mofatraj Munot,
Jose Maria Aristrain,Jose Maria Aristrain,
Anil Gupta,Anil Gupta,
Luo Yangyong & family,Luo Yangyong,
Li Qiong,Li Qiong,
Nikil Viswanathan,Nikil Viswanathan,
Joe Lau,Joe Lau,
Richard Fairbank,Richard Fairbank,"Stanford University ( BS , MBA )"
Christine Franken & family,Christine Franken,
Lai Jianping,Lai Jianping,
Bernard Lewis & family,Bernard Lewis,"SOAS ( BA , PhD ) University of Paris"
Ke Xiping & family,Ke Xiping,
He Yamin & family,He Yamin,
Horst Wortmann & family,Horst Wortmann,
Liesel Pritzker Simmons,Liesel Pritzker Simmons,Columbia University ( BA )
Ni Yongpei & family,Ni Yongpei,
William MacMillan,William MacMillan,
Martha MacMillan,Martha MacMillan,
John MacMillan,John MacMillan,
Cargill MacMillan III,Cargill MacMillan III,
Liu Chengyu & family,Liu Chengyu,
Lee Hae-jin,Lee Hae-jin,Seoul National University ( BS ) KAIST ( MS )
Ahmet Calik,Ahmet Calik,
Samir Mane,Samir Mane,"University of Tirana , Faculty of Geology and Mining"
Chen Zhisong,Chen Zhisong,
Dmitry Kamenshchik,Dmitry Kamenshchik,Lomonosov Moscow State University
Michael Tojner,Michael Tojner,
Hartley Rogers,Hartley Rogers,
Patricia Angelini Rossi,Patricia Angelini Rossi,
Pan Laican,Pan Laican,
David Fattal & family,David Fattal,
Hajime Satomi,Hajime Satomi,
He Zhaoxi,He Zhaoxi,
Bahari Karim,Bahari Karim,
Burhan Karim,Burhan Karim,
Eddy Kusnadi Sariaatmadja,Eddy Kusnadi Sariaatmadja,University of New South Wales ( MSE )
Zeng Chaoyi,Zeng Chaoyi,
John Armitage,John Armitage,
Ryan Graves,Ryan Graves,
Jared Isaacman,Jared Isaacman,"Embry–Riddle Aeronautical University, Worldwide ( BS )"
Michael Teel,Michael Teel,
Diego Della Valle,Diego Della Valle,University of Bologna
Xu Zhenhua,Xu Zhenhua,
Justin Yuan,Justin Yuan,Shanghai Theatre Academy
Timothy Dunn & family,Timothy Dunn,
John Morgan,John Morgan,
Yu Qibing & family,Yu Qibing,
Carmen Thyssen,Carmen Thyssen,
Alan Gerry,Alan Gerry,
Li Weiwei,Li Weiwei,
Magic Johnson,Magic Johnson,
Lu Zongjun,Lu Zongjun,
Dariusz Milek,Dariusz Milek,
Yao Kuizhang,Yao Kuizhang,
Dmitry Alexeyev,Dmitry Alexeyev,
Ulrike Meister,Ulrike Meister,
Lee Jay-hyun,Lee Jay-hyun,Kyungbock High School
Yeh Kuo-I,Yeh Kuo-I,
Sze Man Bok,Sze Man Bok,
Scot French,Scot French,
Michael Patterson,Michael Patterson,
Zsolt Felcsuti,Zsolt Felcsuti,Corvinus University of Budapest [ 1 ]
Rubens Ometto Silveira Mello,Rubens Ometto Silveira Mello,
Stephen Winn,Stephen Winn,
Ludwig Theodor Braun,Ludwig Theodor Braun,
Ronnie Screwvala,Ronnie Screwvala,
Agustín Coppel Luken,Agustín Coppel Luken,
Tang Aoqi & family,Tang Aoqi,
Franziska Wuerbser,Franziska Wuerbser,
Gabriella Meister,Gabriella Meister,
Chey Tae-won,Chey Tae-won,Korea University ( BS )
Filip Balcaen & family,Filip Balcaen,
Jeffrey Lorberbaum,Jeffrey Lorberbaum,University of Denver
Dan Gertler,Dan Gertler,
Jin Lei & family,Jin Lei,
Zhao Hongfei,Zhao Hongfei,
Premchand Godha,Premchand Godha,
Philip Fayer,Philip Fayer,
Gu Wei,Gu Wei,
Shigefumi Wada,Shigefumi Wada,
Yan Zhi,Yan Zhi,
Nie Tengyun & family,Nie Tengyun,
Ronald Clarke,Ronald Clarke,
Xu Shaochun,Xu Shaochun,
Andrew Tisch,Andrew Tisch,Cornell University ( BS ) Harvard University ( MBA )
Li Hongjing,Li Hongjing,
Saket Burman,Saket Burman,University of Wisconsin–Madison
Jimmy Rane,Jimmy Rane,Marion Military Institute Auburn University ( BS ) Samford University ( JD )
Susan Co,Susan Co,
Lin Chang Su-O,Lin Chang Su-O,
Wang Linpeng,Wang Linpeng,
Li Guoqiang,Li Guoqiang,
Kirit Doshi,Kirit Doshi,
Lin Zhixiong & family,Lin Zhixiong,
Chen Kaichen,Chen Kaichen,
Mark Pincus,Mark Pincus,University of Pennsylvania ( BS ) Harvard University ( MBA )
F.C. Tseng,F.C. Tseng,
Yusaku Maezawa,Yusaku Maezawa,
Brett Adcock,Brett Adcock,University of Florida
Greg Brown,Greg Brown,
Radhe Shyam Agarwal,Radhe Shyam Agarwal,St. Xavier's College Calcutta University Institute of Chartered Accountants of India Institute of Company Secretaries of India
Adrian Paval,Adrian Paval,
Shirley Kao,Shirley Kao,
Tan Lili,Tan Lili,
Dmitry Nikolaev,Dmitry Nikolaev,
Vincent Lo,Vincent Lo,St. Joseph College University of New South Wales
Frank McCourt,Frank McCourt,New York University Brooklyn College
Li Jinyang,Li Jinyang,Yale University National Southwestern Associated University
Zeng Kaitian,Zeng Kaitian,
Jordi Rubiralta,Jordi Rubiralta,
Swift Xie,Swift Xie,
Allan Wong,Allan Wong,
Thierry Cruanes,Thierry Cruanes,
Li Zhen & family,Li Zhen,
Jin Lei,Jin Lei,
Yves-Loic Martin,Yves-Loic Martin,
Lu Lili,Lu Lili,
Yao Hsiao Tung,Yao Hsiao Tung,
Arsen Kanokov,Arsen Kanokov,
Tibor Veres,Tibor Veres,
Mario Moretti Polegato & family,Mario Moretti Polegato,
Art Levinson,Art Levinson,University of Washington ( BS ) Princeton University ( PhD )
Zhu Jiangming,Zhu Jiangming,
Prayudh Mahagitsiri,Prayudh Mahagitsiri,
Denis Shtengelov,Denis Shtengelov,
Zhong Ruonong & family,Zhong Ruonong,
David Xueling Li,David Xueling Li,
Nikesh Arora,Nikesh Arora,IIT (BHU) Varanasi ( BTech ) Boston College ( MS ) Northeastern University ( MBA )
Brandt Louie,Brandt Louie,University of British Columbia
Jared Smith,Jared Smith,
Wang Chou-hsiong,Wang Chou-hsiong,
Carson Brice,Carson Brice,
Yu De-Chao,Yu De-Chao,
Jiang Long,Jiang Long,Nanjing University Soviet Academy of Sciences
Claire Bristow,Claire Bristow,
Yang Yuanqing,Yang Yuanqing,Shanghai Jiao Tong University ( BA ) University of Science and Technology of China ( MSc )
Brad Kelley,Brad Kelley,
Sergey Shishkarev,Sergey Shishkarev,
Ulrich Mommert & family,Ulrich Mommert,
Mehmet Ali Aydinlar,Mehmet Ali Aydinlar,I.I.T.I.A.
Vladimir Bogdanov,Vladimir Bogdanov,Tyumen Industrial Institute
Hisako Yamamoto,Hisako Yamamoto,
Junro Ito,Junro Ito,
Yasuhisa Ito,Yasuhisa Ito,
Raymond Kwok,Raymond Kwok,Cambridge University (BA Law) Harvard Business School ( M.B.A. )
Wu Bo,Wu Bo,
Lim Chap Huat,Lim Chap Huat,
Markus Persson,Markus Persson,
Chen Guodong,Chen Guodong,
Chen Baohua,Chen Baohua,
Mori Arkin,Mori Arkin,Tel Aviv University
Christopher Stolte,Christopher Stolte,
Binny Bansal,Binny Bansal,IIT Delhi
Li Jiaquan,Li Jiaquan,
Youssef Mansour,Youssef Mansour,North Carolina State University Auburn University
Marius Nacht,Marius Nacht,
Lin Zhijun,Lin Zhijun,
Elly Reisman,Elly Reisman,
Alessandro Rosano,Alessandro Rosano,
Peter Kelly,Peter Kelly,
George Yancopoulos,George Yancopoulos,"Columbia University ( BA , MD , PhD )"
Tan Yu Yeh,Tan Yu Yeh,
Li Zhiyuan,Li Zhiyuan,
Yigal Dimri,Yigal Dimri,
Manoj Punjabi,Manoj Punjabi,
Wu Chung-yi,Wu Chung-yi,
Chua Thian Poh,Chua Thian Poh,
Ayman Hariri,Ayman Hariri,Georgetown University
Philip Green,Philip Green,
Cristina Green,Cristina Green,
Margarita Latsis Catsiapis & family,Margarita Latsis Catsiapis,
Naresh Trehan,Naresh Trehan,King George's Medical College ( MBBS )
He Ningning,He Ningning,
Nobutada Saji,Nobutada Saji,
Ben Francis,Ben Francis,Aston University (dropped out)
Li Xuhui,Li Xuhui,
Brad Keywell,Brad Keywell,"University of Michigan ( BBA , JD )"
Ziv Aviram,Ziv Aviram,Ben Gurion University of the Negev
Li Weizhu,Li Weizhu,
Kochouseph Chittilappilly,Kochouseph Chittilappilly,"Christ College, Irinjalakuda St. Thomas College, Thrissur"
Christoph Zeller,Christoph Zeller,
Suh Kyung-bae,Suh Kyung-bae,Yonsei University Samuel Curtis Johnson Graduate School of Management at Cornell University
Amit Burman,Amit Burman,
Frederic Luddy,Frederic Luddy,
Josef Boquoi & family,Josef Boquoi,
Martine Rothblatt,Martine Rothblatt,"University of California, Los Angeles ( B.A. , J.D , M.B.A ) Barts and The London School of Medicine and Dentistry ( Ph.D. )"
Eric Ya Shen,Eric Ya Shen,
Hua Xuande & family,Hua Xuande,
Stephen Fredette,Stephen Fredette,
Forrest Preston,Forrest Preston,Walla Walla College Oregon State University
Deniz Sahenk,Deniz Sahenk,
Zhou Chengjian,Zhou Chengjian,Zhejiang University
Donald Mackenzie,Donald Mackenzie,
Hisao Nagata,Hisao Nagata,
Liu Ming Chung,Liu Ming Chung,
Michael Steinhardt,Michael Steinhardt,University of Pennsylvania (B.S.)
Takaya Awata,Takaya Awata,
Michael McCain,Michael McCain,Mount Allison University Ivey Business School ( HBA )
Bulent Eczacibasi,Bulent Eczacibasi,"Deutsche Schule Istanbul Imperial College London , Massachusetts Institute of Technology"
Michael Spencer,Michael Spencer,
Zhong Sheng Jian,Zhong Sheng Jian,
Zhang Hongwei,Zhang Hongwei,
Gary Magness,Gary Magness,
Jiang Yintai & family,Jiang Yintai,
Zhou Zongwen & family,Zhou Zongwen,
Vijay Shekhar Sharma,Vijay Shekhar Sharma,Delhi College of Engineering (B.Tech)
Zeng Chaolin,Zeng Chaolin,
Chung Yong-ji,Chung Yong-ji,Sungkyunkwan University ( BS ) University of Texas at San Antonio ( MS ) Cornell University ( PhD )
Lau Cho Kun,Lau Cho Kun,
Su Qingcan,Su Qingcan,
Tyler Perry,Tyler Perry,
Subbamma Jasti,Subbamma Jasti,
Li Haizhou & family,Li Haizhou,
Albert Nahmad,Albert Nahmad,
Taavet Hinrikus,Taavet Hinrikus,
Harald Link,Harald Link,University of St. Gallen
Neide Helena de Moraes,Neide Helena de Moraes,
Jose Ermirio de Moraes Neto,Jose Ermirio de Moraes Neto,
Jose Roberto Ermirio de Moraes,Jose Roberto Ermirio de Moraes,
Chen Xueli,Chen Xueli,
Tope Awotona,Tope Awotona,University of Georgia ( BBA )
He Zuxun,He Zuxun,
Yuan Zhimin & family,Yuan Zhimin,
Femi Otedola,Femi Otedola,"Methodist Boys' High School, Lagos Olivet Baptist High School"
Joop van den Ende,Joop van den Ende,
Darwin Deason,Darwin Deason,
Yu Peidi,Yu Peidi,
Simón Pedro Barceló Vadell,Simón Pedro Barceló Vadell,
Zhang Xuewu,Zhang Xuewu,
Shao Genhuo,Shao Genhuo,
Surin Upatkoon,Surin Upatkoon,
Wu Xushun & family,Wu Xushun,
Antonio Percassi,Antonio Percassi,
Yao Runhao,Yao Runhao,
Tianqiao Chen,Tianqiao Chen,Fudan University
Boris Rotenberg,Boris Rotenberg,
William Heinecke,William Heinecke,
Deepak Mehta,Deepak Mehta,
Lev Kvetnoi,Lev Kvetnoi,
Benjamin Zhengmin Pan & family,Benjamin Zhengmin Pan,
Alexander Knauf,Alexander Knauf,
Zhang Wenzhong,Zhang Wenzhong,Chinese Academy of Sciences Nankai University
Wirastuty Fangiono,Wirastuty Fangiono,
David Feffer,David Feffer,
Vicente Boluda Fos,Vicente Boluda Fos,
Stelios Haji-Ioannou,Stelios Haji-Ioannou,Bayes Business School London School of Economics
Frank Holding Jr,Frank Holding Jr,
Qian Ying,Qian Ying,
Alexander Mikhalskiy,Alexander Mikhalskiy,
Andrei Komarov & family,Andrei Komarov,
Huang Shanbing & family,Huang Shanbing,
Kazim Turker,Kazim Turker,
Habil Khorakiwala,Habil Khorakiwala,"Purdue University, Harvard Business School"
Oran Holtzman,Oran Holtzman,
Huang Chulong,Huang Chulong,
Richard Desmond,Richard Desmond,
Anand Surana,Anand Surana,
Dilip Surana,Dilip Surana,
Richard Kayne,Richard Kayne,
Tang Jinkui & family,Tang Jinkui,
Bob Muglia,Bob Muglia,University of Michigan
Christian Louboutin,Christian Louboutin,
Elena Baturina,Elena Baturina,
Li Shui-po,Li Shui-po,National Taipei University of Technology ( BS )
Fredrik Österberg,Fredrik Österberg,
Dai Wenyuan & family,Dai Wenyuan,
Xiong Wu,Xiong Wu,
Xu Xudong & family,Xu Xudong,
Park Dong-suk,Park Dong-suk,
Xiang Wenbo,Xiang Wenbo,
Hiroshi Ishibashi,Hiroshi Ishibashi,
Tiger Woods,Tiger Woods,
Andrei Kosogov,Andrei Kosogov,
Zhang Zhongneng & family,Zhang Zhongneng,
Paul Fireman,Paul Fireman,
Li Weiguo,Li Weiguo,
Seth Klarman,Seth Klarman,Cornell University ( AB ) Harvard University ( MBA )
Hary Tanoesoedibjo,Hary Tanoesoedibjo,Carleton University ( BCom ) University of Ottawa ( MBA )
Joseph Baratta,Joseph Baratta,Georgetown University
Vladimir Voronin,Vladimir Voronin,Cooperation College All-Union Institute for Food Industry Academy of Social Sciences Soviet Academy of the Ministry of Internal Affairs
Michael Chae,Michael Chae,
Eric Glyman,Eric Glyman,
Karim Atiyeh,Karim Atiyeh,
Gene Lee,Gene Lee,
Tang Xiuguo,Tang Xiuguo,
Lim Chai Hock,Lim Chai Hock,
Jahm Najafi,Jahm Najafi,"University of California, Berkeley Harvard University"
Jeff Sprecher,Jeff Sprecher,
Song Fei,Song Fei,
Ivan Streshinsky,Ivan Streshinsky,
Marty Horton,Marty Horton,
C.C. Paarthipan,C.C. Paarthipan,
Martin Moller Nielsen,Martin Moller Nielsen,
Xie Juhua & family,Xie Juhua,
Keiko Erikawa,Keiko Erikawa,
Stuart Miller,Stuart Miller,
Yoichi Erikawa,Yoichi Erikawa,
