forbes_name,clean_name,education
Charoen Sirivadhanabhakdi & family,Charoen Sirivadhanabhakdi,
Arthur Blank,Arthur Blank,Babson College ( BSBA )
Scott Farquhar,Scott Farquhar,University of New South Wales
Patrick Ryan,Patrick Ryan,
Forrest Li,Forrest Li,Shanghai Jiaotong University ( BA ) Stanford University ( MBA )
Andreas Struengmann & family,Andreas Struengmann,
Thomas Struengmann & family,Thomas Struengmann,
Liu Yongxing,Liu Yongxing,Xihua University
"Ernest Garcia, III","Ernest Garcia, III",
Richard Kinder,Richard Kinder,"University of Missouri ( BA , JD )"
Josh Harris,Josh Harris,
Kirsten Rausing,Kirsten Rausing,
Jorn Rausing,Jorn Rausing,
Finn Rausing,Finn Rausing,INSEAD
Jaime Gilinski Bacal,Jaime Gilinski Bacal,Georgia Tech Harvard Business School
Manuel Villar,Manuel Villar,"University of the Philippines Diliman ( BS , MBA )"
Pierre Omidyar,Pierre Omidyar,Tufts University ( BS )
Pei Zhenhua,Pei Zhenhua,
Riley Bechtel & family,Riley Bechtel,"University of California, Davis ( BA ) Stanford University ( JD , MBA )"
Ramzi Musallam,Ramzi Musallam,
Yi Zheng,Yi Zheng,
Mikhail Prokhorov,Mikhail Prokhorov,Moscow Finance Institute
Li Shuirong & family,Li Shuirong,
Michal Strnad,Michal Strnad,
Johann Graf,Johann Graf,
Marijke Mars,Marijke Mars,Duke University
Victoria Mars,Victoria Mars,
Valerie Mars,Valerie Mars,Yale University Columbia University
Pamela Mars,Pamela Mars,
Tilman Fertitta,Tilman Fertitta,Texas Tech University (no degree) University of Houston (no degree)
John Malone,John Malone,"Yale University ( BA ) New York University ( MS ) Johns Hopkins University ( MS , PhD )"
Alexander Otto,Alexander Otto,
Andre Esteves,Andre Esteves,Federal University of Rio de Janeiro [ 1 ]
Nicky Oppenheimer & family,Nicky Oppenheimer,"Harrow School Christ Church, Oxford ( MA )"
Vincent Bolloré & family,Vincent Bolloré,Paris Nanterre University
Vikram Lal & family,Vikram Lal,Technische Universität Darmstadt
Leonid Fedun,Leonid Fedun,
Marina Budiman,Marina Budiman,
Charles Butt,Charles Butt,University of Pennsylvania Harvard University
Mark Stevens,Mark Stevens,
Jonathan Gray,Jonathan Gray,
Tse Ping & family,Tse Ping,
Quek Leng Chan,Quek Leng Chan,
Hussain Sajwani,Hussain Sajwani,University of Washington
Anthony Bamford & family,Anthony Bamford,University of Grenoble
Taylor Thomson,Taylor Thomson,
Peter Thomson,Peter Thomson,
David Thomson,David Thomson,
Karel Komarek,Karel Komarek,
Sandra Ortega Mera,Sandra Ortega Mera,University of Santiago de Compostela
Carl Bennet,Carl Bennet,University of Gothenburg
Micky Arison,Micky Arison,University of Miami (dropped out)
Daniel Kretinsky,Daniel Kretinsky,Masaryk University
John Collison,John Collison,Harvard University
Patrick Collison,Patrick Collison,Gaelscoil Aonach Urmhumhan Castletroy College Massachusetts Institute of Technology
Marie Besnier Beauvalot,Marie Besnier Beauvalot,
Jean-Michel Besnier,Jean-Michel Besnier,
Robert F. Smith,Robert F. Smith,
Gong Hongjia & family,Gong Hongjia,Huazhong University of Science and Technology
Piero Ferrari & family,Piero Ferrari,
Jeffery Hildebrand,Jeffery Hildebrand,"University of Texas at Austin (B.S., M.S.)"
Wu Jianshu,Wu Jianshu,
Francine von Finck & family,Francine von Finck,
Harry Stine & Family,Harry Stine,
Vinod Khosla,Vinod Khosla,IIT Delhi ( BTech ) Carnegie Mellon University ( MS ) Stanford University ( MBA )
Daniel Ek,Daniel Ek,
Xu Gaoming,Xu Gaoming,
Carrie Perrodo & family,Carrie Perrodo,
Sulaiman Al Habib,Sulaiman Al Habib,
Murali Divi & family,Murali Divi,
Dmitri Bukhman,Dmitri Bukhman,
Igor Bukhman,Igor Bukhman,Vologda State Pedagogical Institute [ ru ]
German Khan,German Khan,Moscow Institute of Steel and Alloys
Wang Laisheng,Wang Laisheng,
Nadia Thiele & family,Nadia Thiele,Ludwig Maximilian University of Munich
Viktor Rashnikov,Viktor Rashnikov,Magnitogorsk Institute of Mining and Metallurgy
Michael Rubin,Michael Rubin,
Juan Roig,Juan Roig,University of Valencia (BA) University of Navarra (MA)
Paolo Ardoino,Paolo Ardoino,University of Genoa
Jean-Louis van der Velde,Jean-Louis van der Velde,
Michael Kim,Michael Kim,
Michael Otto,Michael Otto,
Andrei Guryev & family,Andrei Guryev,"Russian State University of Physical Education, Sport, Youth and Tourism"
Viatcheslav Kantor,Viatcheslav Kantor,"Moscow Aviation Institute (diploma, 1976) Moscow Aviation Institute (PhD, 1981)"
Gabe Newell,Gabe Newell,Harvard University (dropped out)
Randa Duncan Williams,Randa Duncan Williams,Rice University University of Houston
Li Hua,Li Hua,"Municipal Guangzhou Art School (1926) Kawabata Art Scho ol, [ clarification needed ] Tokyo (1930)"
Wang Laichun,Wang Laichun,Tsinghua University (EMBA)
Dannine Avara,Dannine Avara,
Chen Tao & family,Chen Tao,
Milane Frantz,Milane Frantz,University of Houston
Mat Ishbia,Mat Ishbia,Michigan State University
Ivan Glasenberg,Ivan Glasenberg,University of Witwatersrand ( BCom and B.Acy. ) University of Southern California ( MBA )
Tom Gores,Tom Gores,Michigan State University ( BS )
Chris Larsen,Chris Larsen,Stanford Graduate School of Business (M.B.A.)
Jim Kennedy,Jim Kennedy,
Blair Parry-Okeden,Blair Parry-Okeden,La Pietra: Hawaii School for Girls
Marcos Galperin,Marcos Galperin,University of Pennsylvania ( BA ) Stanford University ( MBA )
Pang Kang,Pang Kang,
Terrence Pegula,Terrence Pegula,Pennsylvania State University ( BS )
Ken Langone,Ken Langone,Bucknell University ( BA ) New York University ( MBA )
Wang Weixiu & family,Wang Weixiu,
Todd Boehly,Todd Boehly,College of William & Mary ( BBA ) London School of Economics
Christopher Hohn,Christopher Hohn,University of Southampton Harvard Business School
Cho Jung-ho,Cho Jung-ho,University of Southern California (BA) International Institute for Management Development (MBA)
Roman Abramovich & family,Roman Abramovich,Moscow State Law University Russian State University of Oil and Gas
Graeme Hart,Graeme Hart,University of Otago
Scott Duncan,Scott Duncan,
Tahir & family,Tahir,
Francesco Gaetano Caltagirone,Francesco Gaetano Caltagirone,
Douglas Leone,Douglas Leone,Cornell University ( BS ) Columbia University ( MS ) Massachusetts Institute of Technology (MS)
Les Wexner & family,Les Wexner,Ohio State University ( BBA )
Sky Xu,Sky Xu,
Marc Benioff,Marc Benioff,University of Southern California (BS)
Pankaj Patel,Pankaj Patel,Sheth Chimanlal Nagindas Vidyalaya (BA) L.M. College of Pharmacy (M.Pharm) University of Mumbai (LLB)
Viktor Vekselberg,Viktor Vekselberg,Moscow Transportation Engineering Institute
William Ackman,William Ackman,"Harvard University ( BA , MBA )"
Cen Junda,Cen Junda,
Bruce Kovner,Bruce Kovner,Harvard University
Magdalena Martullo-Blocher,Magdalena Martullo-Blocher,University of St. Gallen ( Licentiate II )
Cao Renxian,Cao Renxian,
Laurent Dassault,Laurent Dassault,ESLSCA Panthéon-Assas University
Elisabeth DeLuca & family,Elisabeth DeLuca,University of Bridgeport
Brian Chesky,Brian Chesky,Rhode Island School of Design ( BFA )
Eric Wittouck,Eric Wittouck,
Jeff Greene,Jeff Greene,Johns Hopkins University ( BA ) Harvard University ( MBA )
Thierry Dassault,Thierry Dassault,
Marie-Hélène Habert-Dassault,Marie-Hélène Habert-Dassault,
Maria Asuncion Aramburuzabala & family,Maria Asuncion Aramburuzabala,Instituto Tecnológico Autónomo de México
Michael Saylor,Michael Saylor,Massachusetts Institute of Technology ( BS )
Rakesh Mittal,Rakesh Mittal,
Rajan Mittal,Rajan Mittal,
Pavel Tykac,Pavel Tykac,Czech Technical University in Prague
David Geffen,David Geffen,Santa Monica College (no degree)
David Shaw,David Shaw,
Wang Xing,Wang Xing,Tsinghua University ( BEng ) University of Delaware ( MS )
Robert Rowling,Robert Rowling,University of Texas at Austin Southern Methodist University
Ronda Stryker,Ronda Stryker,University of Northern Colorado Western Michigan University
Sri Prakash Lohia,Sri Prakash Lohia,University of Delhi
Chen Jianhua,Chen Jianhua,
Charles Ergen,Charles Ergen,University of Tennessee ( BA ) Wake Forest University ( MBA )
Jimmy Haslam,Jimmy Haslam,University of Tennessee
Nassef Sawiris,Nassef Sawiris,University of Chicago
Rahul Bhatia,Rahul Bhatia,
Ling Tang,Ling Tang,
Richard White,Richard White,
Neil Bluhm,Neil Bluhm,University of Illinois (B.A.) Northwestern University (J.D.)
Nathan Blecharczyk,Nathan Blecharczyk,Harvard University ( BS )
Luis Carlos Sarmiento,Luis Carlos Sarmiento,National University of Colombia
Xu Hang,Xu Hang,"Tsinghua University ( BA , MA ) China Europe International Business School (EMBA)"
Li Ping,Li Ping,
Anthony Pratt,Anthony Pratt,Monash University
Juergen Blickle,Juergen Blickle,
Pauline MacMillan Keinath,Pauline MacMillan Keinath,
Justin Sun,Justin Sun,Peking University ( BA ) University of Pennsylvania ( MA )
Rafael Del Pino,Rafael Del Pino,
Stephen Bisciotti,Stephen Bisciotti,Salisbury University
Michael Dorrell,Michael Dorrell,
John Brown,John Brown,
Dan Friedkin,Dan Friedkin,Georgetown University Rice University
J. Joe Ricketts & family,J. Joe Ricketts,
Denise Coates,Denise Coates,University of Sheffield
Tamara Gustavson,Tamara Gustavson,University of Southern California
Patrick Drahi,Patrick Drahi,École Polytechnique ( BEng ) Télécom Paris ( MSc )
Charles Simonyi,Charles Simonyi,"University of California, Berkeley ( BS ) Stanford University ( PhD )"
Denise York & family,Denise York,Saint Mary's College
Leonard Stern,Leonard Stern,
Leo KoGuan,Leo KoGuan,Columbia University New York Law School
Alexandra Schoerghuber & family,Alexandra Schoerghuber,
Don Hankey,Don Hankey,University of Southern California
Kerry Stokes,Kerry Stokes,
Steven Rales,Steven Rales,"DePauw University ( BA , 1973) American University ( JD , 1978)"
Liu Hanyuan,Liu Hanyuan,
Rekha Jhunjhunwala,Rekha Jhunjhunwala,
Francis Choi,Francis Choi,
Lin Li,Lin Li,
Paul Tudor Jones II,Paul Tudor Jones II,University of Virginia ( BA )
Liang Wengen,Liang Wengen,Central South University
Zhang Congyuan,Zhang Congyuan,
David Baszucki,David Baszucki,Stanford University ( BS )
Jean Salata,Jean Salata,Wharton School of the University of Pennsylvania [ 1 ]
Zhang Hongfu,Zhang Hongfu,
Zhang Hongchao,Zhang Hongchao,
Gaye Farncombe,Gaye Farncombe,
Linda Campbell,Linda Campbell,
Igor Olenicoff,Igor Olenicoff,University of Southern California (BA & MA)
John Overdeck,John Overdeck,"Stanford University ( BS , MS )"
David Siegel,David Siegel,
Andreas Halvorsen,Andreas Halvorsen,Williams College Stanford University
Nathan Kirsh,Nathan Kirsh,Potchefstroom High School for Boys University of the Witwatersrand
Joe Gebbia,Joe Gebbia,Rhode Island School of Design ( BFA )
Gayle Benson,Gayle Benson,
Frank Lowy,Frank Lowy,
Nik Storonsky,Nik Storonsky,
Fernando Roberto Moreira Salles,Fernando Roberto Moreira Salles,
Alain Merieux & family,Alain Merieux,
John Morris,John Morris,
Marc Rowan,Marc Rowan,"University of Pennsylvania ( BS , MBA )"
Philippe Laffont,Philippe Laffont,Massachusetts Institute of Technology
Juan Carlos Escotet,Juan Carlos Escotet,Andrés Bello Catholic University University of Miami ( MS )
Rinat Akhmetov,Rinat Akhmetov,
Fredrik Lundberg,Fredrik Lundberg,KTH Royal Institute of Technology
Benu Gopal Bangur,Benu Gopal Bangur,University of Calcutta
Guillaume Pousaz,Guillaume Pousaz,HEC Lausanne (dropped out)
Judy Faulkner,Judy Faulkner,Dickinson College University of Wisconsin–Madison
Sami Mnaymneh,Sami Mnaymneh,
Tony Tamer,Tony Tamer,Rutgers University Stanford University Harvard Business School
Dennis Washington,Dennis Washington,
Stanley Druckenmiller,Stanley Druckenmiller,Bowdoin College ( BA ) University of Michigan
Tanya Saadé Zeenny,Tanya Saadé Zeenny,
Rodolphe Saadé,Rodolphe Saadé,Concordia University
Jacques Saadé Jr,Jacques Saadé Jr,
George Kurtz,George Kurtz,Seton Hall University ( BS )
Chen Bang,Chen Bang,
Leonid Radvinsky,Leonid Radvinsky,Northwestern University
Law Kar Po,Law Kar Po,
Jim Kavanaugh,Jim Kavanaugh,Saint Louis University
Hasmukh Chudgar & family,Hasmukh Chudgar,
Sofie Kirk Kristiansen,Sofie Kirk Kristiansen,Aarhus University
Thomas Kirk Kristiansen,Thomas Kirk Kristiansen,Aarhus Business College
Agnete Kirk Thinggaard,Agnete Kirk Thinggaard,Aarhus University
Roger Penske,Roger Penske,
