rank,id,name,source,country,gender,age,image,current_worth,previous_worth
786,cho-tak-wong,Cho Tak Wong,Auto parts,Hong Kong,M,79,https://specials-images.forbesimg.com/imageserve/67250a3a94dde50120f79609/416x416.jpg?background=000000&cropX1=1314&cropX2=2725&cropY1=360&cropY2=1771,5.1,5.0
787,fan-hongwei,Fan Hongwei,Petrochemicals,China,F,58,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,5.0,5.1
788,naguib-sawiris,Naguib Sawiris,Telecom,Egypt,M,71,https://specials-images.forbesimg.com/imageserve/5e75940510380d0006fba943/416x416.jpg?background=000000&cropX1=1248&cropX2=3468&cropY1=87&cropY2=2305,5.0,5.0
789,nirmal-minda,Nirmal Minda,Auto parts,India,M,67,https://specials-images.forbesimg.com/imageserve/5a7f3f664bbe6f2652f52fc5/416x416.jpg?background=000000&cropX1=425&cropX2=2191&cropY1=355&cropY2=2122,5.0,4.9
790,dagmar-dolby,Dagmar Dolby & family,Dolby Laboratories,United States,F,84,https://specials-images.forbesimg.com/imageserve/5f49769ec9cb2eb7abc2fa7b/416x416.jpg?background=000000&cropX1=0&cropX2=2474&cropY1=77&cropY2=2550,5.0,5.0
791,robert-faith,Robert Faith,Real estate management,United States,M,61,https://specials-images.forbesimg.com/imageserve/6488d620ca16ee930d75c365/416x416.jpg?background=000000&cropX1=574&cropX2=1272&cropY1=201&cropY2=900,5.0,5.0
792,albert-avdolyan,Albert Avdolyan,"Oil, mining",Russia,M,54,https://specials-images.forbesimg.com/imageserve/67eaa5f488c69cf64d15a6ee/416x416.jpg?background=000000&cropX1=512&cropX2=956&cropY1=90&cropY2=535,5.0,5.0
793,akira-mori,Akira Mori & family,Real estate,Japan,M,89,https://specials-images.forbesimg.com/imageserve/5a7fadfb4bbe6f2652f53485/416x416.jpg?background=000000&cropX1=217&cropX2=2212&cropY1=0&cropY2=1995,5.0,5.0
794,jason-jiang,Jason Jiang,Advertising,Singapore,M,52,https://specials-images.forbesimg.com/imageserve/5e7546f92a573300068feaf6/416x416.jpg?background=000000&cropX1=1128&cropX2=2758&cropY1=55&cropY2=1684,5.0,4.9
795,hamad-bin-jassim-bin-jaber-al-thani,Hamad bin Jassim bin Jaber Al Thani,Investments,Qatar,M,65,https://specials-images.forbesimg.com/imageserve/5a8071fc31358e4955ad284c/416x416.jpg?background=000000&cropX1=0&cropX2=720&cropY1=62&cropY2=782,5.0,5.1
796,vikas-oberoi,Vikas Oberoi,Real estate,India,M,55,https://specials-images.forbesimg.com/imageserve/5d9f5a6d4223bf0006b829d4/416x416.jpg?background=000000&cropX1=210&cropX2=1212&cropY1=7&cropY2=1010,5.0,4.9
797,michael-pieper,Michael Pieper,Kitchen appliances ,Switzerland,M,79,https://specials-images.forbesimg.com/imageserve/5e77d1efc7b02d000666de67/416x416.jpg?background=000000&cropX1=482&cropX2=2570&cropY1=154&cropY2=2243,5.0,5.0
798,barry-diller,Barry Diller,Online media,United States,M,83,https://specials-images.forbesimg.com/imageserve/5f4978612579aa24ec628b58/416x416.jpg?background=000000&cropX1=386&cropX2=4439&cropY1=1209&cropY2=5263,5.0,5.0
